name,team,rating,position,pace,acceleration,sprint_speed,shooting,positioning,finishing,long_shot,penalties,shot_power,volleys,passing,crossing,curve,freekick_accuracy,longpass,shortpass,vision,dribbling,agility,balance,ball_control,reactions,composure,defending,heading_accuracy,interceptions,marking,stand_tackle,slide_tackle,physicality,aggression,jumping,stamina,strength
De Gea,Manchester United,90,GK,56,56,56,20.16666667,12,13,12,40,31,13,31.33333333,17,21,19,32,31,68,13,57,43,31,88,0,19.6,21,30,13,21,13,48.5,38,67,25,64
Zlatan Ibrahimovic,Manchester United,90,ST,71.5,69,74,90.16666667,86,90,88,91,93,93,80.16666667,76,82,80,76,84,83,87,86,41,90,85,0,36.4,79,20,15,41,27,81,84,72,75,93
Thibaut Courtois,Chelsea,89,GK,49,46,52,19.83333333,13,14,17,27,36,12,25.16666667,14,19,11,31,32,44,13,61,45,23,81,0,14.6,13,15,11,18,16,49.75,23,68,38,70
Eden Hazard,Chelsea,89,LW,90,93,87,81.83333333,85,80,82,86,79,79,81.5,80,82,79,79,83,86,93,92,90,91,85,0,34.4,57,41,25,27,22,63.25,54,59,77,63
Mesut Ozil,Arsenal,89,CAM,72.5,77,68,74.83333333,84,75,76,67,70,77,84.83333333,80,84,79,84,89,93,86,84,70,90,87,0,27,54,24,22,16,19,56.75,51,52,68,56
Sergio Aguero,Manchester City,89,ST,89,92,86,86.16666667,91,90,84,80,87,85,74.83333333,70,82,72,63,79,83,89,86,90,89,88,0,27.4,68,24,13,20,12,71,57,80,74,73
Paul Pogba,Manchester United,88,CM,77,75,79,82.5,84,71,90,76,90,84,83.16666667,78,82,82,85,86,86,89,79,61,90,86,0,72.4,73,70,68,75,76,84.75,72,85,91,91
Kevin De Bruyne,Manchester City,88,CAM,77,76,78,82.83333333,84,83,86,77,85,82,85.16666667,90,78,84,82,89,88,85,78,75,86,88,0,42.8,53,52,30,39,40,72.75,68,65,85,73
Alexis Sanchez,Arsenal,88,ST,86,88,84,82.66666667,86,85,81,77,84,83,78.5,80,78,78,73,80,82,89,90,87,86,87,0,43.2,70,42,30,39,35,80.5,80,85,85,72
Hugo Lloris,Tottenham Hotspur,88,GK,64,65,63,18,10,10,14,40,23,11,20.33333333,13,11,10,31,27,30,10,55,54,34,84,0,15.4,10,27,12,10,18,47.25,31,74,41,43
Petr Cech,Arsenal,88,GK,46,42,50,16.16666667,13,12,11,23,21,17,28.66666667,19,13,19,33,35,53,12,49,34,22,86,0,15.6,19,23,11,13,12,41.25,17,51,32,65
David Silva,Manchester City,87,CAM,68.5,72,65,75.5,81,70,74,77,71,80,84.33333333,85,83,77,78,91,92,85,92,88,90,84,0,35.4,54,41,23,30,29,60.25,51,66,68,56
Coutinho,Liverpool,86,LW,83,89,77,76.5,83,73,85,64,79,75,81.66666667,77,84,79,78,85,87,88,91,91,88,81,0,37,47,30,24,44,40,63.5,55,59,79,61
Diego Costa,Chelsea,86,ST,76.5,76,77,81.33333333,88,89,70,76,83,82,61.5,63,60,59,48,65,74,79,58,52,82,85,0,44.6,82,40,28,39,34,83.25,93,64,85,91
Cesc Fabregas,Chelsea,86,CM,63.5,65,62,77.83333333,78,76,75,80,77,81,85.83333333,85,77,81,90,91,91,80,65,77,86,81,0,61.8,74,50,60,63,62,64.25,45,68,80,64
